,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montecreto,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,Riolunato,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE
2020-11-10,7,6,5,4,46,35,19,14,6,4,0,9,15,0,19,2,7,2,10,5,1,12,200,1,9,2,10,1,1,13,1,3,1,4,0,8,4,2,6,25,15,6,0,8,13,52,2,23,638
2020-11-11,2,5,7,4,64,19,16,7,7,3,3,16,15,0,18,1,4,0,16,7,6,16,151,0,19,1,3,9,1,25,4,1,4,5,0,3,4,1,7,37,4,3,1,24,10,29,4,13,599
2020-11-12,11,17,4,3,22,37,15,10,1,3,1,8,27,0,41,0,2,1,12,4,1,7,147,1,1,3,29,0,0,15,0,0,0,9,0,7,3,2,4,39,6,1,0,7,9,21,1,16,551
2020-11-13,1,8,2,0,47,14,7,2,6,4,1,12,11,0,32,0,3,5,15,3,2,18,165,2,3,1,5,11,1,21,5,4,1,11,1,5,5,1,6,24,7,3,1,14,8,11,0,27,536
2020-11-14,3,6,2,2,61,10,6,4,6,6,0,7,11,0,21,0,2,1,11,4,2,13,231,0,6,3,10,10,3,18,2,5,0,7,0,2,4,2,7,30,4,2,0,12,8,10,1,19,574
2020-11-15,5,9,2,8,31,48,11,12,7,12,1,14,16,0,41,0,5,2,15,4,6,20,201,0,3,10,24,2,2,48,2,5,1,17,1,8,5,3,7,45,5,4,3,6,7,17,0,23,718
2020-11-16,1,4,12,2,86,22,23,7,3,3,0,3,15,0,33,0,4,2,15,5,1,8,136,1,1,5,9,10,1,17,1,5,0,8,0,4,3,3,2,47,12,5,1,15,17,30,6,17,605
2020-11-17,2,10,7,3,35,30,11,4,3,7,1,23,4,0,16,1,1,1,13,3,0,17,137,1,2,19,11,8,0,42,1,5,0,10,0,3,6,4,12,20,4,8,0,7,4,12,3,6,517
2020-11-18,6,12,6,3,18,27,7,4,0,3,2,10,8,0,18,0,1,4,8,5,1,5,143,16,0,8,11,3,0,38,4,3,0,5,3,6,2,1,1,21,3,6,7,11,6,3,1,11,461
2020-11-19,0,1,2,1,14,13,6,8,3,3,0,21,12,0,24,0,2,0,11,1,2,16,82,1,2,2,6,1,2,11,3,7,2,3,0,4,10,1,2,36,4,1,0,3,6,11,1,20,361
2020-11-20,3,6,7,2,81,14,8,10,10,15,0,13,11,0,45,1,3,1,10,1,4,26,177,2,3,5,10,1,0,34,3,4,0,3,2,3,10,3,5,24,2,8,4,9,3,14,2,23,625
2020-11-21,4,9,5,0,41,42,13,8,0,0,2,3,18,0,23,1,3,3,7,5,0,13,166,2,1,5,20,3,0,29,3,4,1,7,5,0,1,1,2,36,5,2,20,8,12,20,6,14,573
2020-11-22,3,10,5,1,34,13,12,6,4,5,0,14,14,0,32,0,3,0,20,3,0,7,116,1,0,3,8,2,2,21,2,3,1,10,0,0,10,1,5,29,2,6,2,27,7,13,2,12,471
2020-11-23,2,13,2,5,18,24,14,13,10,7,0,19,14,0,19,1,8,2,10,2,5,19,104,0,1,32,10,1,2,17,0,1,0,4,0,0,14,1,5,29,7,2,1,9,5,16,6,6,480
2020-11-24,4,14,6,2,64,44,10,5,3,3,2,16,13,0,17,1,2,2,5,1,2,14,131,0,1,5,21,9,0,28,1,6,1,6,0,11,6,0,2,22,2,10,3,18,8,14,2,10,547
