,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE,Montecreto,Riolunato
2020-10-13,1.0,3.0,2.0,0.0,16.0,13.0,1.0,4.0,0.0,2.0,0.0,4.0,3.0,0.0,8.0,1.0,0.0,0.0,3.0,1.0,0.0,9.0,170.0,0.0,5.0,7.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,38.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,14.0,248.0,0.0,0.0
2020-10-14,1.0,4.0,2.0,0.0,18.0,17.0,1.0,5.0,0.0,2.0,1.0,6.0,5.0,0.0,12.0,1.0,0.0,0.0,3.0,3.0,0.0,7.0,169.0,0.0,4.0,7.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,42.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,16.0,248.0,0.0,0.0
2020-10-15,2.0,4.0,3.0,0.0,16.0,17.0,1.0,5.0,0.0,1.0,1.0,9.0,6.0,0.0,12.0,1.0,0.0,0.0,2.0,3.0,0.0,7.0,198.0,1.0,4.0,7.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,41.0,0.0,2.0,1.0,2.0,3.0,3.0,2.0,17.0,285.0,0.0,0.0
2020-10-16,2.0,6.0,3.0,0.0,16.0,19.0,1.0,5.0,0.0,1.0,1.0,11.0,6.0,0.0,13.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,204.0,1.0,0.0,9.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,43.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,15.0,291.0,0.0,0.0
2020-10-17,2.0,5.0,3.0,0.0,28.0,18.0,1.0,5.0,0.0,1.0,1.0,11.0,6.0,0.0,12.0,1.0,0.0,0.0,5.0,2.0,0.0,5.0,221.0,1.0,0.0,9.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,42.0,0.0,1.0,0.0,5.0,3.0,3.0,3.0,13.0,319.0,0.0,0.0
2020-10-18,4.0,5.0,2.0,0.0,31.0,17.0,3.0,5.0,0.0,2.0,1.0,11.0,6.0,0.0,15.0,1.0,0.0,0.0,7.0,2.0,0.0,7.0,206.0,1.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,45.0,1.0,1.0,0.0,5.0,3.0,4.0,3.0,14.0,378.0,0.0,0.0
2020-10-19,5.0,4.0,2.0,0.0,37.0,19.0,6.0,3.0,0.0,3.0,1.0,10.0,5.0,0.0,16.0,2.0,0.0,0.0,6.0,2.0,1.0,7.0,205.0,1.0,0.0,11.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,4.0,46.0,1.0,2.0,0.0,4.0,4.0,6.0,3.0,21.0,406.0,0.0,0.0
2020-10-20,4.0,5.0,2.0,0.0,38.0,28.0,7.0,2.0,2.0,3.0,1.0,12.0,7.0,0.0,18.0,1.0,0.0,0.0,7.0,3.0,2.0,6.0,206.0,1.0,0.0,12.0,1.0,0.0,10.0,0.0,1.0,0.0,3.0,6.0,4.0,0.0,4.0,42.0,2.0,3.0,0.0,5.0,7.0,11.0,3.0,25.0,445.0,0.0,0.0
2020-10-21,5.0,6.0,2.0,0.0,44.0,29.0,7.0,3.0,2.0,4.0,0.0,10.0,6.0,0.0,17.0,1.0,0.0,0.0,7.0,3.0,2.0,5.0,224.0,1.0,0.0,12.0,1.0,0.0,9.0,0.0,1.0,0.0,5.0,6.0,4.0,0.0,8.0,43.0,2.0,3.0,0.0,4.0,6.0,10.0,5.0,27.0,524.0,0.0,0.0
2020-10-22,4.0,6.0,4.0,0.0,48.0,28.0,7.0,3.0,3.0,5.0,0.0,13.0,8.0,0.0,22.0,1.0,2.0,0.0,7.0,4.0,3.0,7.0,216.0,0.0,0.0,11.0,2.0,0.0,11.0,0.0,1.0,0.0,5.0,8.0,5.0,0.0,8.0,44.0,3.0,2.0,0.0,5.0,4.0,10.0,5.0,30.0,545.0,0.0,0.0
